n network avg_time(s) avg_comm(MB)
2 local 0.466735000000 1.525890000000
2 lan 0.494616500000 1.525890000000
2 wan 0.795615500000 1.525890000000
4 local 0.846953500000 4.577660000000
4 lan 0.827800750000 4.577660000000
4 wan 1.121675000000 4.577660000000
8 local 2.484150000000 10.681200000000
8 lan 2.531787500000 10.681200000000
8 wan 2.843821250000 10.681200000000
16 local 10.122608750000 22.888300000000
16 lan 10.127358750000 22.888300000000
16 wan 10.409173125000 22.888300000000
32 local 40.313621875000 47.302500000000
32 lan 40.565212500000 47.302500000000
32 wan 40.702837500000 47.302500000000
