n network avg_time(s) avg_comm(MB)
2 local 0.0029578350 0.3051840000
2 lan 0.0075764750 0.3051840000
2 wan 0.2282095000 0.3051840000
4 local 0.0039972825 0.9155530000
4 lan 0.0091578375 0.9155530000
4 wan 0.2296342500 0.9155530000
8 local 0.0045880425 2.1362900000
8 lan 0.0124867488 2.1362900000
8 wan 0.2306528750 2.1362900000
16 local 0.0111833150 4.5777700000
16 lan 0.0178797562 4.5777700000
16 wan 0.2421520000 4.5777700000
32 local 0.0416455656 9.4607200000
32 lan 0.0419969688 9.4607200000
32 wan 0.2590589375 9.4607200000
