num_party,network,avg_offline_time_s,avg_offline_comm_MB,avg_online_time_s,avg_online_comm_MB
2,local,0.254174,0.260838,0.000824,0.000161
2,lan,0.260584,0.260838,0.000851,0.000161
2,wan,1.679375,0.260838,0.200939,0.000161
4,local,0.495152,0.727760,0.000925,0.000484
4,lan,0.513458,0.727760,0.000964,0.000484
4,wan,3.058400,0.727760,0.201103,0.000484
8,local,1.114642,1.634238,0.001219,0.001128
8,lan,1.140595,1.634238,0.001242,0.001128
8,wan,5.626412,1.634238,0.201370,0.001128
16,local,2.946638,3.433444,0.002498,0.002418
16,lan,2.995950,3.433444,0.002461,0.002418
16,wan,11.067500,3.433444,0.202549,0.002418
32,local,9.506906,7.024906,0.007851,0.004996
32,lan,9.614625,7.024906,0.008433,0.004996
32,wan,23.462500,7.024906,0.206795,0.004996
