n network avg_time(s) avg_comm(MB)
2 local 0.629556500000 1.525890000000
2 lan 0.651533500000 1.525890000000
2 wan 0.949280500000 1.525890000000
4 local 0.967625000000 4.577660000000
4 lan 0.996361250000 4.577660000000
4 wan 1.254257500000 4.577660000000
8 local 2.677912500000 10.681200000000
8 lan 2.697395000000 10.681200000000
8 wan 3.001377500000 10.681200000000
16 local 10.178019375000 22.888300000000
16 lan 10.280061250000 22.888300000000
16 wan 10.794587500000 22.888300000000
32 local 39.833046875000 47.302500000000
32 lan 40.023206250000 47.302500000000
32 wan 40.274843750000 47.302500000000
