n network avg_time(s) avg_comm(MB)
2 local 0.0069310350 0.3051840000
2 lan 0.0116495000 0.3051840000
2 wan 0.2317260000 0.3051840000
4 local 0.0081023975 0.9155530000
4 lan 0.0133581750 0.9155530000
4 wan 0.2340220000 0.9155530000
8 local 0.0173503000 2.1362900000
8 lan 0.0218032750 2.1362900000
8 wan 0.2450250000 2.1362900000
16 local 0.0407344000 4.5777700000
16 lan 0.0446712375 4.5777700000
16 wan 0.2702745625 4.5777700000
32 local 0.1798872813 9.4607200000
32 lan 0.1834876875 9.4607200000
32 wan 0.3991050313 9.4607200000
