n condition avg_offline_time avg_offline_comm avg_online_time avg_online_comm
2 local 1.80063 1.04209 0.542015 0.76295
2 lan 1.75461 1.04209 0.59181 0.76295
2 wan 3.30446 1.04209 0.7833 0.76295
4 local 3.59768 2.90745 0.90531 2.28884
4 lan 3.7552 2.90745 0.936305 2.28884
4 wan 6.2418 2.90745 1.11338 2.28884
8 local 8.41311 6.52878 2.18805 5.34061
8 lan 8.54603 6.52878 2.29102 5.34061
8 wan 12.7516 6.52878 2.4597 5.34061
16 local 24.4039 13.7166 7.41575 11.4441
16 lan 24.6271 13.7166 7.39906 11.4441
16 wan 30.8118 13.7166 7.53506 11.4441
32 local 82.1297 28.0653 27.5645 23.6511
32 lan 82.9984 28.0653 27.6318 23.6511
32 wan 94.4562 28.0653 27.9934 23.6511
