n condition avg_offline_time avg_offline_comm avg_online_time avg_online_comm
2 local 1.80063 1.04209 0.000595096500 0.000084877000
2 lan 1.75461 1.04209 0.000594737500 0.000084877000
2 wan 3.30446 1.04209 0.201253500000 0.000084877000
4 local 3.59768 2.90745 0.000873972750 0.000254631000
4 lan 3.7552 2.90745 0.000804833250 0.000254631000
4 wan 6.2418 2.90745 0.201133750000 0.000254631000
8 local 8.41311 6.52878 0.001505663750 0.000594139000
8 lan 8.54603 6.52878 0.001525646250 0.000594139000
8 wan 12.7516 6.52878 0.201661250000 0.000594139000
16 local 24.4039 13.7166 0.008751041875 0.001273160000
16 lan 24.6271 13.7166 0.005362366250 0.001273160000
16 wan 30.8118 13.7166 0.204351562500 0.001273160000
32 local 82.1297 28.0653 0.019115825000 0.002631190000
32 lan 82.9984 28.0653 0.016283489687 0.002631190000
32 wan 94.4562 28.0653 0.214326812500 0.002631190000
